quizzes,solutions
068700900004000071030809050300080100040005007007304092602001005000020600059030028,568712943924653871731849256395287164246195387817364592682971435473528619159436728
000700084895000000104960520300040107050000068280005400706200000010030000040080316,623751984895324671174968523369842157457193268281675439736219845518436792942587316
090020710003000580700530000075000000000003076940018020400280001100609000089001402,594826713263197584718534269375962148821453976946718325437285691152649837689371452
000690570003000002000702489002910000308406010050083090026008001840500036700100000,284691573973845162615732489462917358398456217157283694526378941841529736739164825
600523000027009000400007080000014290050230010001050063706800000040602001580001074,698523147127489536435167982863714295954236718271958463716845329349672851582391674
061020000040605900392000508820009007400003000000480003007002100010070000980014602,561928734748635921392741568823169457479253816156487293637892145214576389985314672
402000060390020700000043005680500010005900203237018090010060054006004070000089002,452791368398625741761843925689532417145976283237418596913267854826354179574189632
700090026306240070000063008090002830530400000000508410900107000052000190870020000,745891326386245971219763548194672835538419762627538419963157284452386197871924653
006003005050602100904701020000000570037020400618005900000030004092100600075009803,126893745753642189984751326249316578537928461618475932861537294392184657475269813
150307090008090000003840600700000021491002036000950008060000400000503079509070200,156327894248196357973845612785634921491782536632951748367219485824563179519478263
004000900930210500650007023000000010075800040400006007080701090009640052200003100,724365981938214576651987423863479215175832649492156837586721394319648752247593168
020900600000851900870000000200508396000607451004030027500010080060302100091000003,125974638346851972879263514217548396983627451654139827532416789768392145491785263
703500120006003000095040000000015000200800050000600804400000030502109006031086270,743568129126973548895241367684315792217894653359627814468752931572139486931486275
300706000920000607001080050540000210013600705890002000030907804002100006600008530,354726198928351647761489352546873219213694785897512463135967824482135976679248531
002100049400900800800060320700080005050000001063004700201050670006719050080002000,672138549435927816819465327724381965958276431163594782291853674346719258587642193
060207000059300400040080031093106280002000907084090000025000006000670109100004300,361247895859361472247589631793156284512438967684792513925813746438675129176924358
080010009000207400006300108520071340630008010090600000401009620000703080800060004,785416239319287465246395178528971346634528917197634852471859623962743581853162794
701500300006023901090800000200650009907000514080000030300078006002009403610400200,721594368856723941493816725234651879967382514185947632349278156572169483618435297
004080000100000589009301200400006810680910004002007050003000602060720100070005090,724589361136472589859361247497256813685913724312847956543198672968724135271635498
020801509500070800400000702950010000002004350803006001746000000009705130000092008,327841569561279843498653712954317286612984357873526491746138925289765134135492678
100000970000405306009102085070000508400001030002540700210080604798000020040003000,154836972827495316369172485671329548485761239932548761213987654798654123546213897
003056400000800600500071089938020005000014090000000273090140028870090560100000000,783956412419832657562471389938627145257314896641589273396145728874293561125768934
000090013132070000000002756201005009070080600540000001050623080800049000007100030,765894213132576498498312756281465379379281645546937821954623187813749562627158934
360002490000300002907001000010009380050000004402800007004670050000004130005008006,368752491541396872927481563716249385853167924492835617184673259679524138235918746
400005208100600095098037600070428006200010000060903001052040700080009000000702040,436195278127684395598237614971428536243516987865973421352841769784369152619752843
007050004600040032025009010700060901850403706102000000200700360000301040080004009,317256894698147532425839617734562981859413726162978453241795368976381245583624179
008400000352800000009053700000001024401500003700680090010030046500702901986040000,178496352352817469649253718895371624461529873723684195217938546534762981986145237
040120000075000013080605009000000026807063054501000300004070600200000900090018005,943127568675894213182635749439751826827963154561482397314579682258346971796218435
004030006032900107900205000006007089850006000070510000300109064000000301700840900,584731296632984157917265438146327589853496712279518643325179864498652371761843925
000830017070605290009000400000504039100002500008106000057000000200000300800017060,425839617371645298689721453762584139194372586538196742957463821216958374843217965
403600000010000280520100490000940007054003820790021000000030645609000000000000018,483692571917354286526187493362948157154763829798521364871239645649815732235476918
401008000600500380003006027905030860060090030080010700109000000040780000070100549,421378956697521384853946127915437862762895431384612795139254678546789213278163549
508000400000350002000901700604700300800060001051000049107290050036080910000006034,518627493479358162362941785694715328823469571751832649147293856236584917985176234
600904007800167000000008910407500803020000500030709004000320050049800102003000760,651934287892167345374258916467512893928643571135789624786321459549876132213495768
075900031000070060800410200032007580016039004980204600700608005054000000100000390,275986431341572968869413257432167589516839724987254613793628145654391872128745396
000500060010020090790060243001600030006000574084005100860173009000009002450080007,243597861618324795795861243571642938326918574984735126862173459137459682459286317
002905000030000409060800010390000140700203000501000603674082500089500300000109006,412965837835721469967834215398657142746213958521498673674382591189576324253149786
600105090090000170801000200000401008504360020023009007040080710059700400000002065,632175894495238176871694253967421538584367921123859647246583719359716482718942365
096070020000000030207501090060009004470003109002400085000000748001602000530090600,396874521158926437247531896863159274475283169912467385629315748781642953534798612
090002670068100405200070009007001050004603002020050103080000504015024000009300068,593482671768139425241576839837241956154693782926758143382967514615824397479315268
600005409008020006540600701002160000730000010060308500007000200080450030310070090,623715489178924356549683721852167943734592618961348572497831265286459137315276894
